date,open,high,low,close,m1_bars
2010-01-04,1117.7,1133.7,1117.2,1132.2,1166
2010-01-05,1132.0,1136.9,1128.9,1135.4,1169
2010-01-06,1135.7,1139.4,1131.1,1135.8,1155
2010-01-07,1136.1,1142.6,1130.8,1140.8,1184
2010-01-08,1141.1,1145.5,1134.8,1145.3,1079
2010-01-11,1145.4,1151.7,1141.4,1144.1,1234
2010-01-12,1143.9,1146.6,1131.3,1137.8,1230
2010-01-13,1137.3,1148.8,1132.7,1144.8,1234
2010-01-14,1144.5,1150.7,1141.7,1150.2,1140
2010-01-15,1150.0,1150.0,1130.9,1135.6,1138
2010-01-18,1135.0,1140.2,1132.8,1140.0,836
2010-01-19,1139.7,1150.2,1129.4,1147.7,1210
2010-01-20,1147.4,1149.7,1128.3,1138.4,1287
2010-01-21,1137.9,1142.3,1111.5,1111.7,1247
2010-01-22,1112.0,1118.7,1089.1,1094.4,1267
2010-01-25,1096.8,1105.8,1092.5,1094.2,1293
2010-01-26,1095.2,1102.7,1083.7,1092.2,1322
2010-01-27,1091.9,1098.6,1081.1,1098.1,1300
2010-01-28,1097.9,1106.1,1077.0,1083.5,1352
2010-01-29,1083.3,1095.8,1069.0,1071.5,1296
2010-02-01,1072.4,1088.9,1070.4,1088.4,1288
2010-02-02,1088.1,1103.8,1084.3,1100.8,1259
2010-02-03,1100.6,1102.6,1092.8,1099.3,1267
2010-02-04,1099.8,1100.5,1061.4,1064.4,1210
2010-02-05,1064.9,1067.1,1042.8,1062.1,1225
2010-02-08,1064.0,1070.5,1054.9,1056.4,1327
2010-02-09,1056.7,1078.9,1056.2,1069.4,1266
2010-02-10,1069.2,1074.4,1058.1,1065.6,1284
2010-02-11,1065.8,1081.6,1059.3,1079.8,1271
2010-02-12,1079.6,1081.0,1061.8,1080.8,1236
2010-02-15,1079.2,1080.6,1075.2,1077.1,794
2010-02-16,1078.1,1095.6,1076.9,1095.1,1183
2010-02-17,1094.8,1101.6,1094.3,1101.0,1257
2010-02-18,1100.8,1108.3,1094.8,1099.2,1217
2010-02-19,1099.5,1112.5,1094.0,1107.7,1270
2010-02-22,1107.3,1114.1,1104.8,1108.5,1229
2010-02-23,1108.0,1114.0,1091.5,1097.5,1214
2010-02-24,1097.7,1106.5,1093.7,1103.7,1228
2010-02-25,1103.9,1104.7,1085.6,1102.4,1298
2010-02-26,1102.9,1108.6,1097.3,1106.3,1242
2010-03-01,1106.5,1116.4,1105.2,1115.4,1251
2010-03-02,1115.2,1123.7,1113.7,1118.9,1183
2010-03-03,1119.1,1125.8,1115.9,1118.8,1150
2010-03-04,1119.3,1124.3,1114.8,1123.3,1201
2010-03-05,1123.0,1139.5,1122.5,1137.2,1144
2010-03-08,1136.9,1141.1,1135.6,1136.8,1166
2010-03-09,1136.6,1145.5,1132.0,1140.3,1122
2010-03-10,1140.5,1148.5,1138.3,1145.7,1139
2010-03-11,1145.5,1151.4,1138.9,1150.9,1241
2010-03-12,1150.7,1157.1,1147.1,1151.6,1084
2010-03-14,1151.3,1151.3,1149.5,1150.5,33
2010-03-15,1150.8,1152.5,1141.5,1151.2,899
2010-03-16,1151.5,1160.7,1149.2,1159.4,853
2010-03-17,1159.7,1170.1,1159.1,1166.3,782
2010-03-18,1166.6,1169.1,1161.0,1166.3,721
2010-03-19,1166.5,1170.3,1155.4,1161.5,688
2010-03-22,1154.8,1168.8,1151.8,1168.3,942
2010-03-23,1168.5,1175.5,1164.0,1174.8,1124
2010-03-24,1174.5,1175.0,1165.9,1168.9,1157
2010-03-25,1169.2,1181.4,1164.1,1164.6,1128
2010-03-26,1164.9,1174.6,1161.3,1168.3,1152
2010-03-28,1169.5,1171.7,1169.2,1170.2,43
2010-03-29,1170.0,1175.7,1168.7,1174.4,1172
2010-03-30,1174.2,1178.4,1168.9,1173.4,1126
2010-03-31,1173.6,1175.1,1165.8,1172.5,1118
2010-04-01,1172.3,1182.0,1170.3,1178.3,1187
2010-04-02,1178.5,1183.0,1174.7,1182.2,472
2010-04-04,1183.1,1184.9,1182.6,1184.1,46
2010-04-05,1184.4,1188.1,1178.8,1187.6,933
2010-04-06,1187.8,1192.3,1181.5,1189.3,1183
2010-04-07,1189.0,1190.5,1177.4,1182.2,1114
2010-04-08,1181.9,1189.2,1175.4,1188.1,1186
