date,open,high,low,close,m1_bars
2010-01-04,116.056,116.6,115.832,116.518,889
2010-01-05,116.533,117.121,116.454,116.963,861
2010-01-06,116.978,117.019,116.482,116.669,858
2010-01-07,116.699,116.88,116.394,116.626,791
2010-01-08,116.641,117.138,116.415,116.615,832
2010-01-11,116.623,116.977,116.54,116.801,758
2010-01-12,116.832,117.625,116.832,117.529,864
2010-01-13,117.56,117.622,117.014,117.03,828
2010-01-14,117.077,117.697,117.028,117.443,842
2010-01-15,117.458,118.189,117.427,118.014,834
2010-01-18,118.037,118.13,117.97,118.076,336
2010-01-19,118.042,118.242,117.642,117.858,852
2010-01-20,117.826,118.305,117.81,118.13,855
2010-01-21,118.098,118.624,117.855,118.574,913
2010-01-22,118.589,118.727,118.393,118.515,903
2010-01-25,118.413,118.516,118.187,118.387,831
2010-01-26,118.37,118.852,118.291,118.501,898
2010-01-27,118.469,118.901,118.176,118.191,850
2010-01-28,118.238,118.48,117.859,118.462,985
2010-01-29,118.446,119.032,117.937,118.938,975
2010-02-01,118.851,118.867,118.278,118.401,839
2010-02-02,118.416,118.597,118.207,118.515,847
2010-02-03,118.546,118.546,118.034,118.064,882
2010-02-04,118.095,118.932,118.044,118.759,896
2010-02-05,118.774,119.471,118.579,119.25,973
2010-02-08,119.226,119.257,118.918,119.231,895
2010-02-09,119.199,119.214,118.593,118.639,848
2010-02-10,118.654,118.914,118.221,118.345,911
2010-02-11,118.376,118.495,117.943,118.239,815
2010-02-12,118.223,118.686,118.191,118.542,852
2010-02-15,118.487,118.529,118.276,118.447,363
2010-02-16,118.428,118.811,118.186,118.7,833
2010-02-17,118.683,118.699,117.89,118.03,850
2010-02-18,118.045,118.242,117.392,117.47,850
2010-02-19,117.375,117.745,117.242,117.615,1004
2010-02-22,117.513,117.616,117.368,117.518,770
2010-02-23,117.502,118.48,117.435,118.384,777
2010-02-24,118.368,118.642,118.158,118.389,862
2010-02-25,118.372,118.96,118.309,118.894,831
2010-02-26,118.609,118.979,118.523,118.756,746
2010-03-01,118.619,118.909,118.567,118.781,745
2010-03-02,118.764,118.865,118.441,118.847,808
2010-03-03,118.831,118.871,118.491,118.819,735
2010-03-04,118.802,119.084,118.542,118.885,812
2010-03-05,118.869,118.991,118.149,118.43,726
2010-03-08,118.341,118.372,118.033,118.108,820
2010-03-09,118.123,118.526,118.123,118.38,744
2010-03-10,118.347,118.439,117.975,118.114,726
2010-03-11,118.129,118.222,117.838,117.975,796
2010-03-12,117.959,118.297,117.525,118.152,796
2010-03-14,118.143,118.143,118.095,118.095,7
2010-03-15,118.111,118.215,117.882,118.114,716
2010-03-16,118.146,118.672,117.966,118.591,725
2010-03-17,118.607,118.71,118.414,118.594,775
2010-03-18,118.61,118.748,118.204,118.266,761
2010-03-19,118.25,118.446,117.943,118.096,694
2010-03-22,118.146,118.502,118.019,118.405,663
2010-03-23,118.389,118.601,118.329,118.361,706
2010-03-24,118.376,118.423,116.994,117.102,891
2010-03-25,117.086,117.241,116.367,116.837,853
2010-03-26,116.821,117.126,116.593,117.078,890
2010-03-28,116.973,116.989,116.8,116.831,17
2010-03-29,116.847,117.123,116.735,116.929,773
2010-03-30,116.913,117.064,116.653,117.011,874
2010-03-31,117.027,117.398,116.91,117.204,890
2010-04-01,117.188,117.26,116.817,117.018,780
2010-04-02,117.002,117.31,116.3,116.316,309
2010-04-04,116.272,116.366,116.256,116.35,12
2010-04-05,116.366,116.381,115.773,116.023,746
2010-04-06,116.007,116.425,116.003,116.262,832
2010-04-07,116.278,116.992,116.223,116.896,749
2010-04-08,116.88,117.203,116.665,116.71,813
2010-04-09,116.726,116.904,116.482,116.856,676
2010-04-11,116.705,116.72,116.563,116.563,18
2010-04-12,116.578,117.308,116.48,117.117,790
2010-04-13,117.133,117.55,117.101,117.293,755
2010-04-14,117.278,117.522,117.03,117.045,733
2010-04-15,117.06,117.414,116.911,117.316,769
2010-04-16,117.331,118.094,117.292,117.902,777
2010-04-18,117.986,118.049,117.955,118.017,16
2010-04-19,118.033,118.222,117.565,117.627,850
2010-04-20,117.612,117.689,117.351,117.52,764
2010-04-21,117.536,117.966,117.375,117.917,779
2010-04-22,117.901,118.176,117.481,117.59,785
2010-04-23,117.605,117.711,117.047,117.232,796
