date,open,high,low,close,m1_bars
2010-01-04,78.754,80.94,78.754,80.802,1271
2010-01-05,80.784,81.197,80.154,80.687,1291
2010-01-06,80.639,82.754,80.101,82.483,1262
2010-01-07,82.445,82.608,81.545,81.992,1283
2010-01-08,81.954,82.81,81.145,82.293,1264
2010-01-11,82.343,83.437,81.48,81.55,1278
2010-01-12,81.591,81.886,79.493,79.703,1273
2010-01-13,79.645,80.295,77.999,79.257,1286
2010-01-14,79.269,80.018,78.599,78.841,1212
2010-01-15,78.892,79.002,77.44,77.694,1168
2010-01-18,77.95,78.772,77.143,78.325,964
2010-01-19,78.286,79.22,76.815,78.931,1220
2010-01-20,78.921,79.111,76.894,77.363,1326
2010-01-21,77.324,78.126,75.435,75.576,1300
2010-01-22,75.616,76.277,73.798,73.878,1308
2010-01-25,74.041,75.224,73.866,74.995,1307
2010-01-26,75.085,75.195,73.633,74.434,1317
2010-01-27,74.504,74.907,72.474,73.573,1283
2010-01-28,73.533,74.314,72.76,73.719,1336
2010-01-29,73.65,74.652,72.268,72.479,1297
2010-02-01,72.692,74.844,72.344,74.844,1301
2010-02-02,74.795,77.267,74.258,76.858,1296
2010-02-03,76.848,77.899,76.385,76.955,1287
2010-02-04,76.965,77.035,72.299,72.849,1284
2010-02-05,72.919,73.821,69.389,71.777,1337
2010-02-08,72.01,72.293,70.686,71.607,1306
2010-02-09,71.587,74.059,71.228,73.731,1321
2010-02-10,73.701,74.886,72.518,74.617,1313
2010-02-11,74.567,75.612,73.304,75.283,1291
2010-02-12,75.224,75.274,72.591,74.131,1212
2010-02-15,73.965,74.305,73.661,73.911,864
2010-02-16,73.952,77.377,73.932,77.357,1212
2010-02-17,77.277,77.78,76.493,77.334,1253
2010-02-18,77.254,79.26,76.298,78.351,1301
2010-02-19,78.38,79.895,77.66,79.875,1321
2010-02-22,80.137,80.248,79.248,79.66,1001
2010-02-23,79.63,79.994,77.839,78.748,1287
2010-02-24,78.729,80.076,77.88,79.967,1020
2010-02-25,79.938,79.948,76.703,78.01,1339
2010-02-26,77.981,79.705,77.518,79.269,1319
2010-03-01,79.889,80.31,77.765,78.584,975
2010-03-02,78.535,80.658,77.973,79.326,1279
2010-03-03,79.356,80.951,79.159,80.735,1281
2010-03-04,80.716,80.823,79.45,80.361,1283
2010-03-05,80.321,81.816,80.213,81.542,1246
2010-03-08,81.571,82.196,80.545,81.596,1223
2010-03-09,81.546,81.717,79.968,81.181,1249
2010-03-10,81.192,82.848,80.634,81.824,1236
2010-03-11,81.805,82.218,81.165,82.089,1238
2010-03-12,82.039,83.007,80.424,80.935,1217
2010-03-14,81.014,81.064,80.914,81.015,47
2010-03-15,81.035,81.2,79.028,79.731,1215
2010-03-16,79.751,82.103,79.227,82.053,1214
2010-03-17,82.063,83.014,81.635,82.657,1250
2010-03-18,82.677,82.727,81.619,82.16,1193
2010-03-19,82.15,82.205,79.884,80.693,1150
2010-03-22,80.143,81.644,78.63,81.565,995
2010-03-23,81.575,81.969,80.622,81.244,1224
2010-03-24,81.234,81.264,79.664,80.135,1243
2010-03-25,80.115,81.268,79.843,79.973,1211
2010-03-26,79.983,81.254,79.341,79.951,1214
2010-03-28,80.057,80.207,79.997,80.107,48
2010-03-29,80.097,82.597,80.047,82.27,1232
2010-03-30,82.26,82.562,81.597,82.289,1221
2010-03-31,82.269,83.682,82.051,83.235,1246
2010-04-01,83.245,85.209,83.046,85.089,1217
2010-04-04,85.175,85.544,85.165,85.445,53
2010-04-05,85.435,86.768,84.928,86.621,1246
2010-04-06,86.641,86.966,86.006,86.57,1266
2010-04-07,86.56,86.881,85.38,85.49,1227
2010-04-08,85.48,85.776,84.277,85.548,1236
2010-04-09,85.578,86.271,84.027,84.867,1150
2010-04-11,85.094,85.574,85.094,85.474,53
2010-04-12,85.464,85.634,84.01,84.114,1286
2010-04-13,84.104,84.36,82.45,83.762,1256
2010-04-14,83.752,86.337,83.722,86.089,1266
2010-04-15,86.079,86.222,85.226,85.292,1207
2010-04-16,85.262,85.411,82.714,83.225,1145
2010-04-18,83.345,83.345,82.666,82.764,57
2010-04-19,82.774,82.983,80.975,82.691,1328
2010-04-20,82.701,83.454,82.212,82.903,1305
2010-04-21,82.883,83.596,81.908,82.464,1258
2010-04-22,82.454,83.071,80.765,82.558,1262
2010-04-23,82.567,84.226,81.976,84.132,1216
2010-04-25,84.332,84.522,84.234,84.492,53
2010-04-26,84.502,84.752,82.804,83.122,1281
2010-04-27,83.112,83.511,80.877,80.948,1291
2010-04-28,80.958,82.673,80.526,82.518,1291
2010-04-29,82.508,84.879,82.263,84.763,1230
2010-04-30,84.773,85.773,84.438,85.5,1249
2010-05-02,85.553,86.001,85.553,85.981,57
2010-05-03,85.951,86.524,85.2,85.342,1287
2010-05-04,85.332,85.642,81.454,81.504,1258
2010-05-05,81.524,82.293,78.642,79.382,1345
2010-05-06,79.372,79.892,74.15,76.512,1326
2010-05-07,76.472,77.751,74.096,75.0,1306
2010-05-09,75.761,76.139,75.452,75.802,60
2010-05-10,75.792,78.164,75.484,76.959,1346
2010-05-11,76.979,77.379,75.063,75.606,1336
2010-05-12,75.616,76.733,74.495,75.249,1321
2010-05-13,75.269,76.221,73.395,73.855,1311
2010-05-14,73.845,73.893,70.658,71.869,1280
2010-05-16,71.671,72.01,71.631,71.782,51
2010-05-17,71.762,72.148,69.177,70.438,1343
2010-05-18,70.495,71.981,68.588,68.674,1261
2010-05-19,68.684,70.014,68.038,69.72,1355
2010-05-20,69.711,70.174,65.965,66.695,1366
2010-05-21,66.705,68.33,66.182,67.6,1323
2010-05-23,67.941,67.97,67.212,67.56,56
2010-05-24,67.541,68.303,66.98,67.252,1360
2010-05-25,67.262,67.644,64.738,67.513,1368
2010-05-26,67.523,69.234,66.771,68.382,1380
2010-05-27,68.411,72.477,68.276,72.194,1364
2010-05-28,72.204,73.267,70.797,71.734,1258
2010-05-30,71.81,71.832,71.694,71.756,51
2010-05-31,71.785,72.904,71.709,72.83,1018
2010-06-01,72.84,73.29,69.683,70.277,1374
2010-06-02,70.296,72.027,69.808,71.663,1372
2010-06-03,71.703,73.105,70.551,72.722,1330
2010-06-04,72.712,73.64,69.105,69.282,1275
2010-06-06,69.053,69.151,68.733,68.782,52
2010-06-07,68.792,71.087,68.102,69.44,1357
2010-06-08,69.45,71.299,69.401,71.219,1336
2010-06-09,71.209,73.69,70.772,72.855,1323
2010-06-10,72.845,75.099,72.552,74.278,1325
2010-06-11,74.318,74.518,72.21,73.154,1247
2010-06-13,73.208,73.514,73.188,73.449,47
2010-06-14,73.469,75.177,73.416,74.029,1301
2010-06-15,74.039,76.479,73.893,76.335,1276
2010-06-16,76.315,77.514,75.438,76.84,1261
2010-06-17,76.83,77.257,75.662,76.415,1279
2010-06-18,76.425,77.287,75.617,77.208,1073
2010-06-20,77.514,77.997,77.435,77.84,56
2010-06-21,77.85,78.77,76.59,77.18,1313
2010-06-22,77.16,77.788,76.231,76.38,1300
2010-06-23,76.371,76.758,74.146,75.067,1288
2010-06-24,75.077,75.794,74.333,75.618,1296
2010-06-25,75.628,78.201,74.933,78.201,1236
2010-06-27,78.093,78.093,77.678,77.848,57
2010-06-28,77.838,78.475,76.854,77.224,1275
2010-06-29,77.214,77.465,74.415,74.661,1286
2010-06-30,74.67,76.044,73.639,74.431,1306
2010-07-01,74.451,74.651,71.356,72.121,1328
2010-07-02,72.14,72.69,70.969,71.618,1220
2010-07-04,71.484,71.991,71.484,71.942,38
2010-07-05,71.932,72.132,70.796,71.293,945
2010-07-06,71.283,73.332,70.562,71.706,1314
2010-07-07,71.686,74.432,70.954,74.167,1314
2010-07-08,74.157,75.541,73.924,75.287,1319
2010-07-09,75.277,76.049,74.573,76.029,1179
2010-07-11,75.957,76.007,75.788,75.919,42
2010-07-12,75.899,76.09,74.211,74.781,1227
2010-07-13,74.801,77.089,73.968,76.991,1279
2010-07-14,76.962,77.906,76.137,76.442,1242
2010-07-15,76.432,77.448,75.13,76.919,1290
2010-07-16,76.909,76.919,75.093,75.648,1197
2010-07-18,75.8,75.93,75.581,75.8,43
2010-07-19,75.81,77.828,75.641,76.486,1202
2010-07-20,76.496,77.64,75.743,77.431,1268
2010-07-21,77.411,78.313,75.953,76.224,1240
2010-07-22,76.204,79.171,75.917,78.903,1290
2010-07-23,78.884,79.355,78.161,78.652,1231
2010-07-25,78.759,78.769,78.42,78.54,54
2010-07-26,78.51,79.114,77.847,78.728,1261
2010-07-27,78.718,79.481,76.59,76.871,1219
2010-07-28,76.901,77.543,75.71,76.64,1243
2010-07-29,76.63,78.701,76.266,78.075,1209
2010-07-30,78.065,78.87,76.653,78.811,1185
2010-08-01,78.789,78.988,78.669,78.699,44
2010-08-02,78.689,81.61,78.669,81.223,1284
2010-08-03,81.233,82.488,80.957,82.14,1251
2010-08-04,82.15,82.825,81.475,82.159,1210
2010-08-05,82.169,82.329,81.425,82.048,1214
2010-08-06,82.028,82.54,79.918,80.758,1139
2010-08-08,80.806,80.846,80.646,80.746,44
2010-08-09,80.756,81.659,80.612,81.484,1189
2010-08-10,81.474,81.524,79.112,80.314,1243
2010-08-11,80.324,80.354,77.145,77.425,1279
2010-08-12,77.435,77.898,75.454,75.955,1322
2010-08-13,75.965,76.677,74.952,75.513,1262
2010-08-15,75.559,75.739,75.44,75.67,45
2010-08-16,75.69,75.912,74.825,75.098,1290
2010-08-17,75.108,76.603,75.039,75.69,1264
2010-08-18,75.66,75.831,73.893,75.31,1207
2010-08-19,75.33,76.171,74.031,74.402,1248
2010-08-20,74.382,74.704,73.163,73.643,1250
2010-08-22,73.641,73.86,73.551,73.701,50
2010-08-23,73.691,74.225,72.502,72.603,1290
2010-08-24,72.593,72.804,71.086,71.286,1320
2010-08-25,71.266,72.739,70.534,72.561,1294
2010-08-26,72.601,73.753,72.314,72.759,1292
2010-08-27,72.739,75.369,71.827,75.349,1232
2010-08-29,75.297,75.327,75.068,75.208,48
2010-08-30,75.178,75.377,73.819,73.91,1269
2010-08-31,73.9,74.544,71.353,71.534,1279
2010-09-01,71.564,74.303,71.564,73.748,1299
2010-09-02,73.738,74.972,72.944,74.764,1221
2010-09-03,74.734,75.278,73.044,74.183,1155
2010-09-05,74.161,74.311,74.161,74.191,33
2010-09-06,74.201,74.357,73.669,73.97,840
2010-09-07,73.98,74.506,72.509,73.68,1246
2010-09-08,73.66,75.274,73.254,75.006,1233
2010-09-09,74.996,75.851,73.775,74.696,1300
2010-09-10,74.706,76.63,74.557,76.292,1255
2010-09-12,76.28,76.839,76.28,76.74,54
2010-09-13,76.72,77.964,76.69,77.108,1270
2010-09-14,77.098,77.924,76.138,76.178,1202
2010-09-15,76.188,76.478,74.605,75.847,1308
2010-09-16,75.817,75.837,74.065,74.56,1231
2010-09-17,74.551,75.493,72.944,73.629,1136
2010-09-19,73.729,73.936,73.709,73.75,47
2010-09-20,73.76,75.676,73.514,74.929,1249
2010-09-21,74.909,75.314,73.632,73.722,1233
2010-09-22,73.741,74.985,72.86,73.835,1234
2010-09-23,73.845,74.643,72.631,73.89,1200
2010-09-24,73.9,75.735,73.793,75.562,1175
2010-09-26,75.606,75.972,75.566,75.825,51
2010-09-27,75.835,76.321,74.692,75.317,1224
2010-09-28,75.336,76.311,74.728,75.471,1205
2010-09-29,75.481,77.351,74.841,77.061,1253
2010-09-30,77.071,79.419,76.795,78.99,1279
2010-10-01,79.12,81.016,78.95,79.13,1257
2010-10-03,81.025,81.214,80.898,80.898,52
2010-10-04,80.918,81.745,80.14,80.767,1227
2010-10-05,80.758,82.396,80.547,81.977,1236
2010-10-06,81.988,83.524,81.729,82.781,1231
2010-10-07,82.801,83.897,80.496,80.873,1217
2010-10-08,80.883,82.649,79.827,82.368,1173
2010-10-10,82.559,82.957,82.539,82.7,49
2010-10-11,82.71,83.119,81.471,81.763,1243
2010-10-12,81.773,82.005,80.554,81.433,1265
2010-10-13,81.453,83.163,81.416,83.106,1263
2010-10-14,83.087,83.859,81.97,82.667,1291
2010-10-15,82.657,83.118,80.553,81.287,1237
2010-10-17,81.48,81.51,81.203,81.203,36
2010-10-18,81.213,83.233,80.309,82.819,1235
2010-10-19,82.829,83.178,79.179,79.299,1281
2010-10-20,79.309,82.036,79.24,81.858,1319
2010-10-21,81.838,82.027,79.463,80.032,1322
2010-10-22,80.013,81.449,79.792,81.291,1256
2010-10-24,81.431,81.58,81.173,81.223,55
2010-10-25,81.213,82.705,80.891,81.73,1304
2010-10-26,81.71,82.329,81.265,81.879,1268
2010-10-27,81.889,82.149,80.004,81.551,1294
2010-10-28,81.541,82.129,80.998,81.402,1258
2010-10-29,81.422,81.632,80.084,80.973,1222
2010-10-31,81.013,81.461,80.884,81.332,54
2010-11-01,81.322,83.423,81.144,82.775,1276
2010-11-02,82.765,84.068,82.619,83.989,1292
2010-11-03,84.009,84.958,83.177,84.607,1248
2010-11-04,84.597,86.447,84.527,86.39,1280
2010-11-05,86.38,87.067,85.598,87.037,1242
2010-11-08,87.071,87.172,85.661,86.414,1320
2010-11-09,86.454,87.342,85.208,86.126,1334
2010-11-10,86.177,87.951,85.838,87.613,1341
2010-11-11,87.593,88.382,87.298,87.475,1327
2010-11-12,87.495,87.615,84.31,84.523,1360
2010-11-15,84.705,85.615,84.334,84.376,1365
2010-11-16,84.436,84.601,81.909,82.179,1340
2010-11-17,82.3,82.609,80.118,80.388,1240
2010-11-18,80.508,82.411,80.389,82.312,1364
2010-11-19,82.233,82.796,80.574,81.354,1348
2010-11-22,81.674,82.398,80.224,81.122,1331
2010-11-23,81.153,81.641,79.839,80.532,1351
2010-11-24,80.552,83.81,80.532,83.8,1311
2010-11-25,83.771,84.101,83.021,83.754,1049
2010-11-26,83.807,83.807,82.373,83.462,1076
2010-11-29,83.527,85.534,83.229,85.524,1342
2010-11-30,85.445,85.535,83.21,83.25,1347
2010-12-01,83.32,86.611,83.291,86.474,1351
2010-12-02,86.465,87.804,85.947,87.627,1324
2010-12-03,87.617,89.177,86.831,89.128,1320
2010-12-06,89.163,89.489,88.295,88.562,1332
2010-12-07,88.662,90.508,87.801,88.031,1329
2010-12-08,88.111,88.761,87.106,88.287,1351
2010-12-09,88.328,89.202,87.502,88.384,1321
2010-12-10,88.305,88.803,86.911,87.633,1283
2010-12-13,87.528,89.345,87.289,88.023,1313
2010-12-14,88.054,88.826,87.616,88.18,1289
2010-12-15,88.161,88.982,86.723,88.247,1310
2010-12-16,88.378,88.55,87.543,87.725,1267
2010-12-17,87.81,88.401,86.921,87.981,1207
2010-12-20,88.038,88.841,87.012,88.497,1291
2010-12-21,88.487,89.392,88.353,89.314,1270
2010-12-22,89.285,90.105,89.149,89.933,1220
2010-12-23,89.923,90.954,89.655,90.74,1201
