timestamp_utc,event_id,event_name,country,currency,impact,actual,forecast,previous,revision,source
2024-01-03T15:00:00,EH-20240103T1500-USD-JOLTS-Job-Openings,JOLTS Job Openings,US,USD,HIGH,8790000.0,8840000.0,8850000.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-03T15:00:00,EH-20240103T1500-USD-ISM-Manufacturing-PMI,ISM Manufacturing PMI,US,USD,HIGH,47.4,47.2,46.7,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-03T19:00:00,EH-20240103T1900-USD-FOMC-Meeting-Minutes,FOMC Meeting Minutes,US,USD,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-04T13:15:00,EH-20240104T1315-USD-ADP-Non-Farm-Employment-Change,ADP Non-Farm Employment Change,US,USD,HIGH,164000.0,120000.0,101000.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-04T13:30:00,EH-20240104T1330-USD-Unemployment-Claims,Unemployment Claims,US,USD,HIGH,202000.0,217000.0,220000.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-04T23:59:59,EH-20240104T2359-EUR-German-Prelim-CPI-m-m,German Prelim CPI m/m,EU,EUR,HIGH,0.1,0.2,-0.4,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-05T13:30:00,EH-20240105T1330-CAD-Employment-Change,Employment Change,CA,CAD,HIGH,100.0,12200.0,24900.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-05T13:30:00,EH-20240105T1330-CAD-Unemployment-Rate,Unemployment Rate,CA,CAD,HIGH,5.8,5.9,5.8,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-05T13:30:00,EH-20240105T1330-USD-Average-Hourly-Earnings-m-m,Average Hourly Earnings m/m,US,USD,HIGH,0.4,0.3,0.4,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-05T13:30:00,EH-20240105T1330-USD-Non-Farm-Employment-Change,Non-Farm Employment Change,US,USD,HIGH,216000.0,168000.0,173000.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-05T13:30:00,EH-20240105T1330-USD-Unemployment-Rate,Unemployment Rate,US,USD,HIGH,3.7,3.8,3.7,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-05T15:00:00,EH-20240105T1500-USD-ISM-Services-PMI,ISM Services PMI,US,USD,HIGH,50.6,52.5,52.7,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-08T07:30:00,EH-20240108T0730-CHF-CPI-m-m,CPI m/m,CH,CHF,HIGH,0.0,-0.1,-0.2,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-10T00:30:00,EH-20240110T0030-AUD-CPI-y-y,CPI y/y,AU,AUD,HIGH,4.3,4.4,4.9,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-10T14:15:00,EH-20240110T1415-GBP-BOE-Gov-Bailey-Speaks,BOE Gov Bailey Speaks,GB,GBP,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-11T13:30:00,EH-20240111T1330-USD-Core-CPI-m-m,Core CPI m/m,US,USD,HIGH,0.3,0.3,0.3,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-11T13:30:00,EH-20240111T1330-USD-CPI-m-m,CPI m/m,US,USD,HIGH,0.3,0.2,0.1,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-11T13:30:00,EH-20240111T1330-USD-CPI-y-y,CPI y/y,US,USD,HIGH,3.4,3.2,3.1,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-11T13:30:00,EH-20240111T1330-USD-Unemployment-Claims,Unemployment Claims,US,USD,HIGH,202000.0,209000.0,203000.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-12T01:30:00,EH-20240112T0130-CNY-CPI-y-y,CPI y/y,CN,CNY,HIGH,-0.3,-0.4,-0.5,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-12T07:00:00,EH-20240112T0700-GBP-GDP-m-m,GDP m/m,GB,GBP,HIGH,0.3,0.2,-0.3,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-12T13:30:00,EH-20240112T1330-USD-PPI-m-m,PPI m/m,US,USD,HIGH,-0.1,0.1,-0.1,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-12T13:30:00,EH-20240112T1330-USD-Core-PPI-m-m,Core PPI m/m,US,USD,HIGH,0.0,0.2,0.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-16T07:00:00,EH-20240116T0700-GBP-Claimant-Count-Change,Claimant Count Change,GB,GBP,HIGH,11700.0,18100.0,600.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-16T13:30:00,EH-20240116T1330-CAD-CPI-m-m,CPI m/m,CA,CAD,HIGH,-0.3,-0.3,0.1,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-16T13:30:00,EH-20240116T1330-CAD-Median-CPI-y-y,Median CPI y/y,CA,CAD,HIGH,3.6,3.3,3.6,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-16T13:30:00,EH-20240116T1330-CAD-Trimmed-CPI-y-y,Trimmed CPI y/y,CA,CAD,HIGH,3.7,3.4,3.5,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-16T13:30:00,EH-20240116T1330-USD-Empire-State-Manufacturing-Index,Empire State Manufacturing Index,US,USD,HIGH,-43.7,-4.9,-14.5,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-16T15:00:00,EH-20240116T1500-GBP-BOE-Gov-Bailey-Speaks,BOE Gov Bailey Speaks,GB,GBP,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-17T02:00:00,EH-20240117T0200-CNY-Industrial-Production-y-y,Industrial Production y/y,CN,CNY,HIGH,6.8,6.6,6.6,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-17T07:00:00,EH-20240117T0700-GBP-CPI-y-y,CPI y/y,GB,GBP,HIGH,4.0,3.8,3.9,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-17T13:30:00,EH-20240117T1330-USD-Core-Retail-Sales-m-m,Core Retail Sales m/m,US,USD,HIGH,0.4,0.2,0.2,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-17T13:30:00,EH-20240117T1330-USD-Retail-Sales-m-m,Retail Sales m/m,US,USD,HIGH,0.6,0.4,0.3,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-18T00:30:00,EH-20240118T0030-AUD-Employment-Change,Employment Change,AU,AUD,HIGH,-65099.99999999999,15400.0,72600.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-18T00:30:00,EH-20240118T0030-AUD-Unemployment-Rate,Unemployment Rate,AU,AUD,HIGH,3.9,3.9,3.9,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-18T13:30:00,EH-20240118T1330-USD-Unemployment-Claims,Unemployment Claims,US,USD,HIGH,187000.0,206000.0,203000.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-19T07:00:00,EH-20240119T0700-GBP-Retail-Sales-m-m,Retail Sales m/m,GB,GBP,HIGH,-3.2,-0.5,1.4,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-19T15:00:00,EH-20240119T1500-USD-Prelim-UoM-Consumer-Sentiment,Prelim UoM Consumer Sentiment,US,USD,HIGH,78.8,69.8,69.7,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-23T03:09:00,EH-20240123T0309-JPY-BOJ-Outlook-Report,BOJ Outlook Report,JP,JPY,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-23T03:09:00,EH-20240123T0309-JPY-Monetary-Policy-Statement,Monetary Policy Statement,JP,JPY,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-23T06:30:00,EH-20240123T0630-JPY-BOJ-Press-Conference,BOJ Press Conference,JP,JPY,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-23T21:45:00,EH-20240123T2145-NZD-CPI-q-q,CPI q/q,NZ,NZD,HIGH,0.5,0.5,1.8,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T08:15:00,EH-20240124T0815-EUR-French-Flash-Manufacturing-PMI,French Flash Manufacturing PMI,EU,EUR,HIGH,43.2,42.5,42.1,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T08:15:00,EH-20240124T0815-EUR-French-Flash-Services-PMI,French Flash Services PMI,EU,EUR,HIGH,45.0,46.1,45.7,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T08:30:00,EH-20240124T0830-EUR-German-Flash-Manufacturing-PMI,German Flash Manufacturing PMI,EU,EUR,HIGH,45.4,43.7,43.3,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T08:30:00,EH-20240124T0830-EUR-German-Flash-Services-PMI,German Flash Services PMI,EU,EUR,HIGH,47.6,49.3,49.3,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T09:30:00,EH-20240124T0930-GBP-Flash-Manufacturing-PMI,Flash Manufacturing PMI,GB,GBP,HIGH,47.3,46.7,46.2,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T09:30:00,EH-20240124T0930-GBP-Flash-Services-PMI,Flash Services PMI,GB,GBP,HIGH,53.8,53.1,53.4,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T14:45:00,EH-20240124T1445-CAD-BOC-Monetary-Policy-Report,BOC Monetary Policy Report,CA,CAD,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T14:45:00,EH-20240124T1445-CAD-BOC-Rate-Statement,BOC Rate Statement,CA,CAD,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T14:45:00,EH-20240124T1445-CAD-Overnight-Rate,Overnight Rate,CA,CAD,HIGH,5.0,5.0,5.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T14:45:00,EH-20240124T1445-USD-Flash-Manufacturing-PMI,Flash Manufacturing PMI,US,USD,HIGH,50.3,47.6,47.9,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T14:45:00,EH-20240124T1445-USD-Flash-Services-PMI,Flash Services PMI,US,USD,HIGH,52.9,51.4,51.4,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-24T15:30:00,EH-20240124T1530-CAD-BOC-Press-Conference,BOC Press Conference,CA,CAD,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-25T13:15:00,EH-20240125T1315-EUR-Main-Refinancing-Rate,Main Refinancing Rate,EU,EUR,HIGH,4.5,4.5,4.5,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-25T13:15:00,EH-20240125T1315-EUR-Monetary-Policy-Statement,Monetary Policy Statement,EU,EUR,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-25T13:30:00,EH-20240125T1330-USD-Unemployment-Claims,Unemployment Claims,US,USD,HIGH,214000.0,199000.0,189000.0,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-25T13:30:00,EH-20240125T1330-USD-Advance-GDP-q-q,Advance GDP q/q,US,USD,HIGH,3.3,2.0,4.9,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
2024-01-25T13:45:00,EH-20240125T1345-EUR-ECB-Press-Conference,ECB Press Conference,EU,EUR,HIGH,,,,,ehsanrs2/forexfactory-scraper:high_impact_events_calendar.csv
